================================================================================
                    SMPL LEXICAL ANALYZER OUTPUT
================================================================================
Input file: samples\sample5_complete.smpl
--------------------------------------------------------------------------------
TOKEN TYPE           LEXEME                    LINE
--------------------------------------------------------------------------------
FUNCTION             FUNCTION                  11
CARGO_INT            CARGO_INT                 11
IDENTIFIER           check_fuel_status         11
LPAREN               (                         11
CARGO_INT            CARGO_INT                 11
IDENTIFIER           fuel_level                11
RPAREN               )                         11
LAUNCH               LAUNCH                    11
CHECK_IF             CHECK_IF                  12
LPAREN               (                         12
IDENTIFIER           fuel_level                12
EXCEEDS              EXCEEDS                   12
INTEGER              75                        12
RPAREN               )                         12
LAUNCH               LAUNCH                    12
RETURN_CARGO         RETURN_CARGO              13
INTEGER              3                         13
SEMICOLON            ;                         13
ABORT                ABORT                     14
ELSE_CHECK           ELSE_CHECK                15
LPAREN               (                         15
IDENTIFIER           fuel_level                15
EXCEEDS              EXCEEDS                   15
INTEGER              50                        15
RPAREN               )                         15
LAUNCH               LAUNCH                    15
RETURN_CARGO         RETURN_CARGO              16
INTEGER              2                         16
SEMICOLON            ;                         16
ABORT                ABORT                     17
ELSE_CHECK           ELSE_CHECK                18
LPAREN               (                         18
IDENTIFIER           fuel_level                18
EXCEEDS              EXCEEDS                   18
INTEGER              25                        18
RPAREN               )                         18
LAUNCH               LAUNCH                    18
RETURN_CARGO         RETURN_CARGO              19
INTEGER              1                         19
SEMICOLON            ;                         19
ABORT                ABORT                     20
OTHERWISE            OTHERWISE                 21
LAUNCH               LAUNCH                    21
RETURN_CARGO         RETURN_CARGO              22
INTEGER              0                         22
SEMICOLON            ;                         22
ABORT                ABORT                     23
ABORT                ABORT                     24
MISSION              MISSION                   26
TRANSMIT             TRANSMIT                  28
STRING_LITERAL       "=================================" 28
SEMICOLON            ;                         28
TRANSMIT             TRANSMIT                  29
STRING_LITERAL       "  SPACE MISSION CONTROL CENTER" 29
SEMICOLON            ;                         29
TRANSMIT             TRANSMIT                  30
STRING_LITERAL       "=================================" 30
SEMICOLON            ;                         30
LOAD                 LOAD                      33
CARGO_INT            CARGO_INT                 33
IDENTIFIER           fuel                      33
STORE                STORE                     33
INTEGER              100                       33
SEMICOLON            ;                         33
LOAD                 LOAD                      34
CARGO_INT            CARGO_INT                 34
IDENTIFIER           oxygen                    34
STORE                STORE                     34
INTEGER              100                       34
SEMICOLON            ;                         34
LOAD                 LOAD                      35
CARGO_INT            CARGO_INT                 35
IDENTIFIER           counter                   35
STORE                STORE                     35
INTEGER              0                         35
SEMICOLON            ;                         35
LOAD                 LOAD                      36
CARGO_FLOAT          CARGO_FLOAT               36
IDENTIFIER           temperature               36
STORE                STORE                     36
FLOAT_NUM            22.5                      36
SEMICOLON            ;                         36
LOAD                 LOAD                      37
CARGO_DOUBLE         CARGO_DOUBLE              37
IDENTIFIER           distance                  37
STORE                STORE                     37
FLOAT_NUM            0.0                       37
SEMICOLON            ;                         37
LOAD                 LOAD                      38
CARGO_CHAR           CARGO_CHAR                38
IDENTIFIER           mission_code              38
STORE                STORE                     38
CHAR_LITERAL         'A'                       38
SEMICOLON            ;                         38
LOAD                 LOAD                      39
CARGO_INT            CARGO_INT                 39
IDENTIFIER           status                    39
STORE                STORE                     39
INTEGER              1                         39
SEMICOLON            ;                         39
LOAD                 LOAD                      42
